"date","campaign","sessions","ad.cost","ad.clicks","impressions"
2014-01-03,"Categoria Search - Mapfre Trebol Salud",25,26.7,17,157
2014-01-03,"Categorias Search - Decesos, Sepelios y Camposanto",0,4.44,5,54
2014-01-03,"Categorias Search - Mapfre Autos",32,40.62,35,293
2014-01-03,"Categorias Search - Mapfre Fondo Universitario",14,31.16,16,225
2014-01-03,"Categorias Search - Mapfre SCTR",32,41.96,28,213
2014-01-03,"Categorias Search - SOAT",28,34.49,30,273
2014-01-03,"Competencia Search - Mapfre Autos",2,14.56,5,83
2014-01-03,"Competencia Search - Mapfre Fondo Universitario",5,5.07,4,184
2014-01-03,"Competencia Search - Mapfre Trebol Salud",0,0,0,29
2014-01-03,"Competencia Search - SOAT",34,43.35,28,157
2014-01-03,"Display - Mapfre Trebol Salud",23,60.27,178,109636
2014-01-03,"Display - Marcas de Autos - Mapfre Autos",32,14.04,55,23235
2014-01-03,"Display I - Mapfre Fondo Universitario",135,48.52,182,116033
2014-01-03,"RMKT - Web - Fondo Universitario",5,6.09,27,8824
2014-01-04,"Brand Search - Deceso, Sepelios y Camposanto",0,0.45,6,15
2014-01-04,"Brand Search - Fondo universitario",5,1.36,4,6
2014-01-04,"Brand Search - Mapfre Autos",99,26.38,90,499
2014-01-04,"Brand Search - Mapfre SCTR",0,0.39,2,5
2014-01-04,"Brand Search - Mapfre Trebol Salud",2,1.29,3,19
2014-01-04,"Brand Search - Soat",28,9.57,22,91
2014-01-04,"Categoria Search - Mapfre Trebol Salud",28,25.01,16,117
2014-01-04,"Categorias Search - Decesos, Sepelios y Camposanto",0,3.55,4,27
2014-01-04,"Categorias Search - Mapfre Autos",46,40.24,33,166
2014-01-04,"Categorias Search - Mapfre Fondo Universitario",9,15.07,15,231
2014-01-04,"Categorias Search - Mapfre SCTR",7,4.94,5,85
2014-01-04,"Categorias Search - SOAT",23,31.73,24,194
2014-01-04,"Competencia Search - Mapfre Autos",0,0,0,46
2014-01-04,"Competencia Search - Mapfre Fondo Universitario",0,5.93,4,220
2014-01-04,"Competencia Search - Mapfre Trebol Salud",0,0,0,4
2014-01-04,"Competencia Search - SOAT",16,46.55,21,140
2014-01-04,"Display - Mapfre Trebol Salud",62,60.4,166,114180
2014-01-04,"Display - Marcas de Autos - Mapfre Autos",39,18.6,65,20855
2014-01-04,"Display I - Mapfre Fondo Universitario",142,47.67,183,112873
2014-01-04,"RMKT - Web - Fondo Universitario",28,4.74,21,7956
2014-01-05,"Brand Search - Deceso, Sepelios y Camposanto",0,0,0,11
2014-01-05,"Brand Search - Fondo universitario",0,0.58,1,2
2014-01-05,"Brand Search - Mapfre Autos",39,9.02,46,263
2014-01-05,"Brand Search - Mapfre Trebol Salud",5,1.15,4,9
2014-01-05,"Brand Search - Soat",2,3.43,7,32
2014-01-05,"Categoria Search - Mapfre Trebol Salud",7,8.83,5,83
2014-01-05,"Categorias Search - Decesos, Sepelios y Camposanto",0,2.45,2,44
2014-01-05,"Categorias Search - Mapfre Autos",25,12.18,19,139
2014-01-05,"Categorias Search - Mapfre Fondo Universitario",7,30.81,16,128
2014-01-05,"Categorias Search - Mapfre SCTR",2,1.99,2,60
2014-01-05,"Categorias Search - SOAT",11,21.63,18,123
2014-01-05,"Competencia Search - Mapfre Autos",2,1,1,27
2014-01-05,"Competencia Search - Mapfre Fondo Universitario",2,2.3,1,148
2014-01-05,"Competencia Search - Mapfre Trebol Salud",0,0,0,3
2014-01-05,"Competencia Search - SOAT",11,13.84,9,48
2014-01-05,"Display - Mapfre Trebol Salud",66,60.95,184,88689
2014-01-05,"Display - Marcas de Autos - Mapfre Autos",62,19.01,80,20804
2014-01-05,"Display I - Mapfre Fondo Universitario",87,46.61,177,64973
2014-01-05,"RMKT - Web - Fondo Universitario",21,4.38,22,7744
2014-01-06,"Brand Search - Deceso, Sepelios y Camposanto",0,0.58,6,24
2014-01-06,"Brand Search - Fondo universitario",2,0.13,1,6
2014-01-06,"Brand Search - Mapfre Autos",174,48.18,221,1125
2014-01-06,"Brand Search - Mapfre SCTR",0,0,0,2
2014-01-06,"Brand Search - Mapfre Trebol Salud",14,1.03,9,40
2014-01-06,"Brand Search - Soat",32,8.98,43,123
2014-01-06,"Categoria Search - Mapfre Trebol Salud",14,27.42,17,81
2014-01-06,"Categorias Search - Decesos, Sepelios y Camposanto",0,5.97,5,75
2014-01-06,"Categorias Search - Mapfre Autos",53,51.08,46,322
2014-01-06,"Categorias Search - Mapfre Fondo Universitario",23,32.98,18,189
2014-01-06,"Categorias Search - Mapfre SCTR",32,46.68,41,304
2014-01-06,"Categorias Search - SOAT",32,43.78,33,208
2014-01-06,"Competencia Search - Mapfre Autos",9,23.01,7,68
2014-01-06,"Competencia Search - Mapfre Fondo Universitario",2,5.76,3,107
2014-01-06,"Competencia Search - Mapfre Trebol Salud",0,0,0,16
2014-01-06,"Competencia Search - SOAT",21,43.98,22,133
2014-01-06,"Display - Mapfre Trebol Salud",69,64.83,187,112648
2014-01-06,"Display - Marcas de Autos - Mapfre Autos",48,21.16,75,24049
2014-01-06,"Display I - Mapfre Fondo Universitario",138,52.59,203,105249
2014-01-06,"RMKT - Web - Fondo Universitario",14,4.51,22,8780
2014-01-07,"(not set)",2,0,0,0
2014-01-07,"Brand Search - Deceso, Sepelios y Camposanto",0,0.43,6,30
2014-01-07,"Brand Search - Fondo universitario",0,0.63,1,5
2014-01-07,"Brand Search - Mapfre Autos",220,48.77,230,1111
2014-01-07,"Brand Search - Mapfre SCTR",11,2.64,7,8
2014-01-07,"Brand Search - Mapfre Trebol Salud",2,0.67,5,34
2014-01-07,"Brand Search - Soat",21,7.26,37,100
2014-01-07,"Categoria Search - Mapfre Trebol Salud",11,26.76,18,134
2014-01-07,"Categorias Search - Decesos, Sepelios y Camposanto",0,1.92,2,42
2014-01-07,"Categorias Search - Mapfre Autos",39,33.95,32,279
2014-01-07,"Categorias Search - Mapfre Fondo Universitario",32,35.15,24,347
2014-01-07,"Categorias Search - Mapfre SCTR",39,32.09,35,269
2014-01-07,"Categorias Search - SOAT",50,34.47,29,327
2014-01-07,"Competencia Search - Mapfre Autos",21,30.91,11,102
2014-01-07,"Competencia Search - Mapfre Fondo Universitario",5,5.62,5,476
2014-01-07,"Competencia Search - Mapfre Trebol Salud",0,0.84,1,8
2014-01-07,"Competencia Search - SOAT",28,41.21,27,201
2014-01-07,"Display - Mapfre Trebol Salud",64,64.45,189,116801
2014-01-07,"Display - Marcas de Autos - Mapfre Autos",39,21.73,75,24124
2014-01-07,"Display I - Mapfre Fondo Universitario",158,50.01,212,97814
2014-01-07,"RMKT - Web - Fondo Universitario",16,5.66,25,8949
2014-01-08,"Brand Search - Deceso, Sepelios y Camposanto",0,0.66,7,29
2014-01-08,"Brand Search - Fondo universitario",2,0.74,3,12
2014-01-08,"Brand Search - Mapfre Autos",190,30.84,170,1054
2014-01-08,"Brand Search - Mapfre SCTR",0,0.49,2,4
2014-01-08,"Brand Search - Mapfre Trebol Salud",11,2.22,12,50
2014-01-08,"Brand Search - Soat",25,9.97,26,98
2014-01-08,"Categoria Search - Mapfre Trebol Salud",9,26.03,15,138
2014-01-08,"Categorias Search - Decesos, Sepelios y Camposanto",0,1.31,1,36
2014-01-08,"Categorias Search - Mapfre Autos",41,45.71,42,331
2014-01-08,"Categorias Search - Mapfre Fondo Universitario",11,33.2,16,232
2014-01-08,"Categorias Search - Mapfre SCTR",34,45.4,35,201
2014-01-08,"Categorias Search - SOAT",18,39.17,28,353
2014-01-08,"Competencia Search - Mapfre Autos",2,35.03,9,82
2014-01-08,"Competencia Search - Mapfre Fondo Universitario",7,5.82,4,512
2014-01-08,"Competencia Search - Mapfre Trebol Salud",0,0,0,8
2014-01-08,"Competencia Search - SOAT",23,43.36,20,193
2014-01-08,"Display - Mapfre Trebol Salud",50,62.85,166,103648
2014-01-08,"Display - Marcas de Autos - Mapfre Autos",28,15.86,56,24564
2014-01-08,"Display I - Mapfre Fondo Universitario",122,51.66,189,83619
2014-01-08,"RMKT - Web - Fondo Universitario",7,4.76,22,8989
2014-01-08,"RMKT - Web - Mapfre Autos",7,0,0,0
2014-01-09,"(not set)",5,0,0,0
2014-01-09,"Brand Search - Deceso, Sepelios y Camposanto",0,0.65,6,22
2014-01-09,"Brand Search - Fondo universitario",21,2.34,5,13
2014-01-09,"Brand Search - Mapfre Autos",167,51.37,177,1094
2014-01-09,"Brand Search - Mapfre SCTR",0,0,0,7
2014-01-09,"Brand Search - Mapfre Trebol Salud",11,4.78,11,42
2014-01-09,"Brand Search - Soat",16,8.57,29,97
2014-01-09,"Categoria Search - Mapfre Trebol Salud",14,26.91,21,134
2014-01-09,"Categorias Search - Decesos, Sepelios y Camposanto",0,1.68,1,47
2014-01-09,"Categorias Search - Mapfre Autos",41,24.05,26,264
2014-01-09,"Categorias Search - Mapfre Fondo Universitario",18,31.23,22,267
2014-01-09,"Categorias Search - Mapfre SCTR",46,35.91,33,264
2014-01-09,"Categorias Search - SOAT",25,35.7,25,311
2014-01-09,"Competencia Search - Mapfre Autos",5,17.01,9,139
2014-01-09,"Competencia Search - Mapfre Fondo Universitario",2,5.8,2,78
2014-01-09,"Competencia Search - Mapfre Trebol Salud",0,3.01,1,17
2014-01-09,"Competencia Search - SOAT",18,43.19,21,106
2014-01-09,"Display - Mapfre Trebol Salud",44,61.62,160,95778
2014-01-09,"Display - Marcas de Autos - Mapfre Autos",48,18.8,68,25740
2014-01-09,"Display I - Mapfre Fondo Universitario",99,47.75,179,104393
2014-01-09,"RMKT - Web - Fondo Universitario",18,6.56,32,8710
2014-01-10,"(not set)",2,0,0,0
2014-01-10,"Brand Search - Deceso, Sepelios y Camposanto",0,0.19,7,18
2014-01-10,"Brand Search - Fondo universitario",7,0.21,1,12
2014-01-10,"Brand Search - Mapfre Autos",206,44.98,200,1064
2014-01-10,"Brand Search - Mapfre SCTR",9,1.32,4,6
2014-01-10,"Brand Search - Mapfre Trebol Salud",2,5.4,18,44
2014-01-10,"Brand Search - Soat",18,7.28,15,88
2014-01-10,"Categoria Search - Mapfre Trebol Salud",9,25.27,20,117
2014-01-10,"Categorias Search - Decesos, Sepelios y Camposanto",0,3.28,2,15
2014-01-10,"Categorias Search - Mapfre Autos",32,43.45,39,253
2014-01-10,"Categorias Search - Mapfre Fondo Universitario",9,24.58,17,391
2014-01-10,"Categorias Search - Mapfre SCTR",25,46.35,36,257
2014-01-10,"Categorias Search - SOAT",41,45.66,28,285
2014-01-10,"Competencia Search - Mapfre Autos",5,16.12,8,132
2014-01-10,"Competencia Search - Mapfre Fondo Universitario",0,5.72,3,476
2014-01-10,"Competencia Search - Mapfre Trebol Salud",0,0,0,8
2014-01-10,"Competencia Search - SOAT",23,40.81,25,134
2014-01-10,"Display - Mapfre Trebol Salud",41,62.71,171,96324
2014-01-10,"Display - Marcas de Autos - Mapfre Autos",44,19.55,64,23775
2014-01-10,"Display I - Mapfre Fondo Universitario",149,50.53,195,89221
2014-01-10,"RMKT - Web - Fondo Universitario",53,6.29,33,8723
2014-01-11,"Brand Search - Deceso, Sepelios y Camposanto",0,0.12,2,11
2014-01-11,"Brand Search - Fondo universitario",0,0,0,2
2014-01-11,"Brand Search - Mapfre Autos",92,15.27,70,395
2014-01-11,"Brand Search - Mapfre SCTR",5,0.5,2,2
2014-01-11,"Brand Search - Mapfre Trebol Salud",7,0.62,4,18
2014-01-11,"Brand Search - Soat",46,10.58,33,105
2014-01-11,"Categoria Search - Mapfre Trebol Salud",16,25.92,14,54
2014-01-11,"Categorias Search - Decesos, Sepelios y Camposanto",0,2.74,2,17
2014-01-11,"Categorias Search - Mapfre Autos",21,10.76,13,144
2014-01-11,"Categorias Search - Mapfre Fondo Universitario",7,22.46,12,160
2014-01-11,"Categorias Search - Mapfre SCTR",21,15.63,16,87
2014-01-11,"Categorias Search - SOAT",21,41.86,28,199
2014-01-11,"Competencia Search - Mapfre Autos",2,2.59,2,37
2014-01-11,"Competencia Search - Mapfre Fondo Universitario",5,5.51,4,186
2014-01-11,"Competencia Search - Mapfre Trebol Salud",0,0,0,5
2014-01-11,"Competencia Search - SOAT",11,21.88,11,114
2014-01-11,"Display - Mapfre Trebol Salud",34,60.2,174,104369
2014-01-11,"Display - Marcas de Autos - Mapfre Autos",46,20.23,77,20463
2014-01-11,"Display I - Mapfre Fondo Universitario",142,48.69,192,79684
2014-01-11,"RMKT - Web - Fondo Universitario",14,7.64,31,7876
2014-01-12,"(not set)",2,0,0,0
2014-01-12,"Brand Search - Deceso, Sepelios y Camposanto",0,0.24,1,18
2014-01-12,"Brand Search - Fondo universitario",2,0,0,1
2014-01-12,"Brand Search - Mapfre Autos",44,9.06,38,246
2014-01-12,"Brand Search - Mapfre SCTR",0,0.21,1,1
2014-01-12,"Brand Search - Mapfre Trebol Salud",0,0.27,2,14
2014-01-12,"Brand Search - Soat",7,2.42,10,38
2014-01-12,"Categoria Search - Mapfre Trebol Salud",21,25.36,18,72
2014-01-12,"Categorias Search - Decesos, Sepelios y Camposanto",0,0.55,1,16
2014-01-12,"Categorias Search - Mapfre Autos",14,7.85,11,115
2014-01-12,"Categorias Search - Mapfre Fondo Universitario",18,30.78,20,154
2014-01-12,"Categorias Search - Mapfre SCTR",0,7.44,9,85
2014-01-12,"Categorias Search - SOAT",5,22.44,15,108
2014-01-12,"Competencia Search - Mapfre Autos",0,1.79,1,31
2014-01-12,"Competencia Search - Mapfre Fondo Universitario",2,5.03,3,161
2014-01-12,"Competencia Search - Mapfre Trebol Salud",0,0,0,3
2014-01-12,"Competencia Search - SOAT",5,27.85,11,46
2014-01-12,"Display - Mapfre Trebol Salud",64,61.25,185,108946
2014-01-12,"Display - Marcas de Autos - Mapfre Autos",50,21.16,77,20897
2014-01-12,"Display I - Mapfre Fondo Universitario",101,45.81,177,83734
2014-01-12,"RMKT - Web - Fondo Universitario",21,5.39,25,7653
2014-01-13,"(not set)",2,0,0,0
2014-01-13,"Brand Search - Deceso, Sepelios y Camposanto",0,0.08,2,27
2014-01-13,"Brand Search - Fondo universitario",2,0.86,1,8
2014-01-13,"Brand Search - Mapfre Autos",181,45.5,207,1192
2014-01-13,"Brand Search - Mapfre SCTR",14,1.16,5,5
2014-01-13,"Brand Search - Mapfre Trebol Salud",9,2.83,8,44
2014-01-13,"Brand Search - Soat",37,12.55,44,141
2014-01-13,"Categoria Search - Mapfre Trebol Salud",14,28.71,19,118
2014-01-13,"Categorias Search - Decesos, Sepelios y Camposanto",0,1.24,1,33
2014-01-13,"Categorias Search - Mapfre Autos",46,50.24,49,310
2014-01-13,"Categorias Search - Mapfre Fondo Universitario",21,26.68,21,422
2014-01-13,"Categorias Search - Mapfre SCTR",39,40.99,36,285
2014-01-13,"Categorias Search - SOAT",28,50.62,34,337
2014-01-13,"Competencia Search - Mapfre Autos",25,32.73,12,177
2014-01-13,"Competencia Search - Mapfre Fondo Universitario",2,5.53,5,469
2014-01-13,"Competencia Search - Mapfre Trebol Salud",0,0,0,5
2014-01-13,"Competencia Search - SOAT",14,44.05,24,165
2014-01-13,"Display - Mapfre Trebol Salud",46,64.62,170,124663
2014-01-13,"Display - Marcas de Autos - Mapfre Autos",25,14.87,55,23802
2014-01-13,"Display I - Mapfre Fondo Universitario",110,48.24,175,78059
2014-01-13,"RMKT - Web - Fondo Universitario",44,6.26,24,8591
2014-01-14,"Brand Search - Deceso, Sepelios y Camposanto",0,0.25,7,35
2014-01-14,"Brand Search - Fondo universitario",2,1.88,6,10
2014-01-14,"Brand Search - Mapfre Autos",243,50.26,194,1132
2014-01-14,"Brand Search - Mapfre SCTR",0,0.2,1,2
2014-01-14,"Brand Search - Mapfre Trebol Salud",9,4.93,5,39
2014-01-14,"Brand Search - Soat",9,11.89,15,30
2014-01-14,"Categoria Search - Mapfre Trebol Salud",11,25.94,18,193
2014-01-14,"Categorias Search - Decesos, Sepelios y Camposanto",0,2.05,5,30
2014-01-14,"Categorias Search - Mapfre Autos",46,45.79,43,286
2014-01-14,"Categorias Search - Mapfre Fondo Universitario",9,33.15,16,152
2014-01-14,"Categorias Search - Mapfre SCTR",21,38.94,38,243
2014-01-14,"Categorias Search - SOAT",32,42.37,35,332
2014-01-14,"Competencia Search - Mapfre Autos",14,21.85,11,230
2014-01-14,"Competencia Search - Mapfre Fondo Universitario",0,5.36,2,141
2014-01-14,"Competencia Search - Mapfre Trebol Salud",0,0,0,22
2014-01-14,"Competencia Search - SOAT",16,43.05,19,127
2014-01-14,"Display - Mapfre Trebol Salud",39,62.59,165,117321
2014-01-14,"Display - Marcas de Autos - Mapfre Autos",39,17.85,59,24657
2014-01-14,"Display I - Mapfre Fondo Universitario",101,47.55,181,69737
2014-01-14,"RMKT - Web - Fondo Universitario",28,7.62,29,8556
2014-01-15,"Brand Search - Deceso, Sepelios y Camposanto",0,0.25,3,30
2014-01-15,"Brand Search - Fondo universitario",7,0.93,3,12
2014-01-15,"Brand Search - Mapfre Autos",204,40.86,189,1121
2014-01-15,"Brand Search - Mapfre SCTR",5,0.78,4,3
2014-01-15,"Brand Search - Mapfre Trebol Salud",2,1.83,7,50
2014-01-15,"Brand Search - Soat",28,11.5,35,112
2014-01-15,"Categoria Search - Mapfre Trebol Salud",25,41.57,23,171
2014-01-15,"Categorias Search - Decesos, Sepelios y Camposanto",0,4.86,3,19
2014-01-15,"Categorias Search - Mapfre Autos",39,46.46,45,271
2014-01-15,"Categorias Search - Mapfre Fondo Universitario",14,43.75,21,380
2014-01-15,"Categorias Search - Mapfre SCTR",32,23.74,28,292
2014-01-15,"Categorias Search - SOAT",25,50.85,32,213
2014-01-15,"Competencia Search - Mapfre Autos",7,15.02,6,162
2014-01-15,"Competencia Search - Mapfre Fondo Universitario",0,5.9,4,179
2014-01-15,"Competencia Search - Mapfre Trebol Salud",0,0,0,14
2014-01-15,"Competencia Search - SOAT",16,41.21,22,173
2014-01-15,"Display - Mapfre Trebol Salud",25,26.3,68,47718
2014-01-15,"Display - Marcas de Autos - Mapfre Autos",46,17.23,69,23030
2014-01-15,"Display I - Mapfre Fondo Universitario",108,47.47,180,87110
2014-01-15,"RMKT - Web - Fondo Universitario",18,6.09,26,8365
2014-01-15,"RMKT - Web - Mapfre Autos",2,0,0,0
2014-01-16,"Brand Search - Deceso, Sepelios y Camposanto",0,0.95,6,32
2014-01-16,"Brand Search - Fondo universitario",0,1.94,4,14
2014-01-16,"Brand Search - Mapfre Autos",181,36,175,951
2014-01-16,"Brand Search - Mapfre SCTR",2,0.47,2,3
2014-01-16,"Brand Search - Mapfre Trebol Salud",28,2.64,13,43
2014-01-16,"Brand Search - Soat",37,8.09,37,111
2014-01-16,"Categoria Search - Mapfre Trebol Salud",25,28.68,21,193
2014-01-16,"Categorias Search - Decesos, Sepelios y Camposanto",0,1.02,4,29
2014-01-16,"Categorias Search - Mapfre Autos",28,25.3,27,242
2014-01-16,"Categorias Search - Mapfre Fondo Universitario",25,30.47,25,443
2014-01-16,"Categorias Search - Mapfre SCTR",41,40.74,37,275
2014-01-16,"Categorias Search - SOAT",41,48.98,35,320
2014-01-16,"Competencia Search - Mapfre Autos",14,16.72,8,136
2014-01-16,"Competencia Search - Mapfre Fondo Universitario",0,5.82,1,25
2014-01-16,"Competencia Search - Mapfre Trebol Salud",0,3.01,1,23
2014-01-16,"Competencia Search - SOAT",18,30.65,15,100
2014-01-16,"Display - Mapfre Trebol Salud",21,25.92,74,31819
2014-01-16,"Display - Marcas de Autos - Mapfre Autos",32,17.82,53,22519
2014-01-16,"Display I - Mapfre Fondo Universitario",80,43.28,165,80380
2014-01-16,"RMKT - Web - Fondo Universitario",32,9.93,41,8336
2014-01-16,"RMKT - Web - Mapfre Autos",2,0,0,0
2014-01-17,"Brand Search - Deceso, Sepelios y Camposanto",0,0.79,7,23
2014-01-17,"Brand Search - Fondo universitario",9,1.36,4,10
2014-01-17,"Brand Search - Mapfre Autos",167,34.28,172,945
2014-01-17,"Brand Search - Mapfre SCTR",2,0.37,2,5
2014-01-17,"Brand Search - Mapfre Trebol Salud",14,3.06,14,63
2014-01-17,"Brand Search - Soat",32,11.88,24,77
2014-01-17,"Categoria Search - Mapfre Trebol Salud",9,25.07,15,162
2014-01-17,"Categorias Search - Decesos, Sepelios y Camposanto",0,1.36,2,32
2014-01-17,"Categorias Search - Mapfre Autos",23,24.74,25,229
2014-01-17,"Categorias Search - Mapfre Fondo Universitario",37,30.69,27,409
2014-01-17,"Categorias Search - Mapfre SCTR",28,30.13,32,215
2014-01-17,"Categorias Search - SOAT",34,49.15,33,241
2014-01-17,"Competencia Search - Mapfre Autos",2,11.88,5,59
2014-01-17,"Competencia Search - Mapfre Fondo Universitario",5,4.92,4,278
2014-01-17,"Competencia Search - Mapfre Trebol Salud",2,2.51,1,27
2014-01-17,"Competencia Search - SOAT",14,33.52,13,69
2014-01-17,"Display - Mapfre Trebol Salud",11,24.93,61,27982
2014-01-17,"Display - Marcas de Autos - Mapfre Autos",30,11.17,37,22406
2014-01-17,"Display I - Mapfre Fondo Universitario",119,43.78,165,77457
2014-01-17,"RMKT - Web - Fondo Universitario",11,7.07,29,8097
2014-01-17,"RMKT - Web - Mapfre Autos",2,0,0,0
2014-01-18,"(not set)",5,0,0,0
2014-01-18,"Brand Search - Deceso, Sepelios y Camposanto",0,0.35,2,19
2014-01-18,"Brand Search - Fondo universitario",5,0,0,5
2014-01-18,"Brand Search - Mapfre Autos",119,15.84,71,461
2014-01-18,"Brand Search - Mapfre SCTR",0,0,0,2
2014-01-18,"Brand Search - Mapfre Trebol Salud",0,1.3,6,24
2014-01-18,"Brand Search - Soat",28,5.52,25,46
2014-01-18,"Categoria Search - Mapfre Trebol Salud",16,20.14,13,86
2014-01-18,"Categorias Search - Decesos, Sepelios y Camposanto",0,3.8,3,45
2014-01-18,"Categorias Search - Mapfre Autos",9,17.33,15,106
2014-01-18,"Categorias Search - Mapfre Fondo Universitario",21,26.47,16,189
2014-01-18,"Categorias Search - Mapfre SCTR",5,7.46,7,71
2014-01-18,"Categorias Search - SOAT",28,25.55,18,186
2014-01-18,"Competencia Search - Mapfre Autos",5,3.6,2,30
2014-01-18,"Competencia Search - Mapfre Fondo Universitario",0,5.27,3,110
2014-01-18,"Competencia Search - Mapfre Trebol Salud",0,0,0,10
2014-01-18,"Competencia Search - SOAT",14,32.25,18,97
2014-01-18,"Display - Mapfre Trebol Salud",11,25.31,66,37642
2014-01-18,"Display - Marcas de Autos - Mapfre Autos",41,16.55,53,20031
2014-01-18,"Display I - Mapfre Fondo Universitario",117,46.2,174,76087
2014-01-18,"RMKT - Web - Fondo Universitario",21,6.6,31,7711
2014-01-19,"Brand Search - Deceso, Sepelios y Camposanto",0,0.04,1,17
2014-01-19,"Brand Search - Fondo universitario",0,0,0,4
2014-01-19,"Brand Search - Mapfre Autos",96,9.84,40,260
2014-01-19,"Brand Search - Mapfre SCTR",0,0,0,5
2014-01-19,"Brand Search - Mapfre Trebol Salud",2,0.71,3,28
2014-01-19,"Brand Search - Soat",16,6.51,12,37
2014-01-19,"Categoria Search - Mapfre Trebol Salud",11,23.26,13,146
2014-01-19,"Categorias Search - Decesos, Sepelios y Camposanto",0,3.07,2,30
2014-01-19,"Categorias Search - Mapfre Autos",9,9.28,15,101
2014-01-19,"Categorias Search - Mapfre Fondo Universitario",7,16.91,11,152
2014-01-19,"Categorias Search - Mapfre SCTR",14,13.78,14,81
2014-01-19,"Categorias Search - SOAT",9,20.59,16,150
2014-01-19,"Competencia Search - Mapfre Autos",2,3.06,3,34
2014-01-19,"Competencia Search - Mapfre Fondo Universitario",2,5.57,1,85
2014-01-19,"Competencia Search - Mapfre Trebol Salud",0,0,0,1
2014-01-19,"Competencia Search - SOAT",14,15.95,13,58
2014-01-19,"Display - Mapfre Trebol Salud",39,25.3,68,25987
2014-01-19,"Display - Marcas de Autos - Mapfre Autos",28,14.63,45,19800
2014-01-19,"Display I - Mapfre Fondo Universitario",99,45.2,173,71667
2014-01-19,"RMKT - Web - Fondo Universitario",23,7.03,29,7249
2014-01-20,"Brand Search - Deceso, Sepelios y Camposanto",0,0.59,5,24
2014-01-20,"Brand Search - Fondo universitario",5,0.53,2,8
2014-01-20,"Brand Search - Mapfre Autos",211,44.48,193,1132
2014-01-20,"Brand Search - Mapfre SCTR",0,0.35,1,4
2014-01-20,"Brand Search - Mapfre Trebol Salud",9,2.64,10,76
2014-01-20,"Brand Search - Soat",41,7.42,50,119
2014-01-20,"Categoria Search - Mapfre Trebol Salud",25,46.42,32,234
2014-01-20,"Categorias Search - Decesos, Sepelios y Camposanto",0,1.12,3,54
2014-01-20,"Categorias Search - Mapfre Autos",39,40.09,45,287
